Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Day,Month,Year,Arrival_Time_hr,Arrival_Time_min,Dep_Time_hr,Dep_Time_min,Duration_hr,Duration_min,Total_Duration
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,07:05,18:10,11h 5m,1,0,9646.0,21,5,2019,18,10,7,5,11,5,665.0
Air India,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,06:45,15:15,8h 30m,1,0,8714.0,15,3,2019,15,15,6,45,8,30,510.0
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,20:55,19:00,22h 5m,1,1,12373.0,18,5,2019,19,0,20,55,22,5,1325.0
Air Asia,2019-06-05,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,0,0,3383.0,5,6,2019,13,55,11,10,2,45,165.0
Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1,0,13062.0,21,3,2019,21,0,9,0,12,0,720.0
SpiceJet,2019-03-24,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,0,2,3527.0,24,3,2019,8,35,5,45,2,50,170.0
IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,0,0,3943.0,27,5,2019,6,50,4,0,2,50,170.0
Air India,2019-03-05,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,0,0,4667.0,5,3,2019,13,55,11,40,2,15,135.0
Air India,2019-05-15,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05,16h 5m,1,0,6117.0,15,5,2019,11,5,19,0,16,5,965.0
Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00,19h 55m,2,1,11150.0,27,6,2019,19,0,23,5,19,55,1195.0
Jet Airways,2019-09-03,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,0,1,7202.0,3,9,2019,14,15,11,0,3,15,195.0
Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55,25h 20m,1,0,12121.0,5,1,2019,10,55,9,35,25,20,1520.0
IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,22:20,01:10,2h 50m,0,0,4377.0,24,3,2019,1,10,22,20,2,50,170.0
IndiGo,2019-06-18,Banglore,Delhi,BLR → DEL,21:15,00:15,3h,0,0,3943.0,18,6,2019,0,15,21,15,3,0,180.0
Air Asia,2019-03-04,Banglore,Delhi,BLR → DEL,23:55,02:45,2h 50m,0,0,4483.0,4,3,2019,2,45,23,55,2,50,170.0
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,19:45,12:00,16h 15m,1,0,14231.0,24,3,2019,12,0,19,45,16,15,975.0
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55,15h 5m,2,0,17345.0,3,1,2019,23,55,8,50,15,5,905.0
Vistara,2019-06-03,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,0,0,7414.0,3,6,2019,9,20,7,5,2,15,135.0
Multiple carriers,2019-06-05,Delhi,Cochin,DEL → BOM → COK,19:00,01:30,6h 30m,1,0,8073.0,5,6,2019,1,30,19,0,6,30,390.0
Vistara,2019-06-03,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,16:45,25h 5m,1,0,12395.0,3,6,2019,16,45,15,40,25,5,1505.0
Air India,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,09:25,21:50,12h 25m,1,0,8366.0,6,6,2019,21,50,9,25,12,25,745.0
Air India,2019-03-04,Delhi,Cochin,DEL → MAA → COK,06:05,09:25,27h 20m,1,0,5117.0,4,3,2019,9,25,6,5,27,20,1640.0
Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1,0,12524.0,6,3,2019,19,0,8,45,10,15,615.0
IndiGo,2019-05-15,Delhi,Cochin,DEL → BOM → COK,15:00,01:30,10h 30m,1,0,7191.0,15,5,2019,1,30,15,0,10,30,630.0
Vistara,2019-05-24,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,0,0,3687.0,24,5,2019,9,20,7,5,2,15,135.0
IndiGo,2019-06-24,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1,0,5894.0,24,6,2019,21,0,10,35,10,25,625.0
Vistara,2019-04-24,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,0,0,5403.0,24,4,2019,12,35,9,45,2,50,170.0
Air India,2019-06-05,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,0,0,3625.0,5,6,2019,15,25,13,55,1,30,90.0
Air India,2019-05-21,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2,0,10861.0,21,5,2019,19,15,5,55,13,20,800.0
IndiGo,2019-12-03,Chennai,Kolkata,MAA → CCU,13:20,15:35,2h 15m,0,0,6297.0,3,12,2019,15,35,13,20,2,15,135.0
Jet Airways,2019-01-06,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,0,0,5678.0,6,1,2019,8,30,7,5,1,25,85.0
Jet Airways,2019-09-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,08:15,26h 30m,1,1,9134.0,3,9,2019,8,15,5,45,26,30,1590.0
Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7h 20m,1,1,10791.0,24,6,2019,19,0,11,40,7,20,440.0
Jet Airways,2019-06-24,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35,13h 30m,2,0,12819.0,24,6,2019,12,35,23,5,13,30,810.0
IndiGo,2019-03-21,Delhi,Cochin,DEL → BLR → COK,05:05,10:05,5h,1,0,6893.0,21,3,2019,10,5,5,5,5,0,300.0
Vistara,2019-09-03,Banglore,New Delhi,BLR → DEL,09:50,12:35,2h 45m,0,0,7240.0,3,9,2019,12,35,9,50,2,45,165.0
GoAir,2019-03-04,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,0,0,3898.0,4,3,2019,14,30,11,40,2,50,170.0
IndiGo,2019-03-04,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,0,0,4049.0,4,3,2019,7,55,6,25,1,30,90.0
Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,17:30,12:35,19h 5m,1,1,10262.0,15,6,2019,12,35,17,30,19,5,1145.0
SpiceJet,2019-03-21,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,0,2,3332.0,21,3,2019,10,35,8,20,2,15,135.0
Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,21:10,12:00,14h 50m,1,1,10844.0,6,9,2019,12,0,21,10,14,50,890.0
Jet Airways,2019-03-24,Banglore,New Delhi,BLR → DEL,19:55,22:35,2h 40m,0,0,7229.0,24,3,2019,22,35,19,55,2,40,160.0
Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40,22h 10m,1,0,13941.0,5,6,2019,4,40,6,30,22,10,1330.0
IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,9h 35m,1,0,5894.0,27,6,2019,21,0,11,25,9,35,575.0
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1,0,10197.0,18,5,2019,19,0,9,0,10,0,600.0
Jet Airways,2019-06-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,11:25,21h 20m,1,1,13712.0,3,6,2019,11,25,14,5,21,20,1280.0
IndiGo,2019-06-24,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1,0,5636.0,24,6,2019,7,25,2,0,5,25,325.0
Jet Airways,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25,18h 45m,2,0,13014.0,6,6,2019,4,25,9,40,18,45,1125.0
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1,1,7064.0,4,1,2019,20,45,8,25,12,20,740.0
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,20:25,14:25,18h,1,1,10703.0,24,5,2019,14,25,20,25,18,0,1080.0
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,9h 15m,1,0,9646.0,27,5,2019,22,30,13,15,9,15,555.0
Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,02:15,13:20,11h 5m,1,0,17057.0,3,6,2019,13,20,2,15,11,5,665.0
Jet Airways,2019-12-03,Banglore,New Delhi,BLR → BOM → DEL,16:55,10:25,17h 30m,1,0,13817.0,3,12,2019,10,25,16,55,17,30,1050.0
Air India,2019-06-03,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2,0,13748.0,3,6,2019,19,15,5,55,13,20,800.0
Air India,2019-04-21,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,0,0,4880.0,21,4,2019,23,20,20,45,2,35,155.0
IndiGo,2019-06-21,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,0,0,3540.0,21,6,2019,7,40,5,15,2,25,145.0
SpiceJet,2019-05-15,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,0,2,3257.0,15,5,2019,8,35,5,55,2,40,160.0
Jet Airways,2019-03-06,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,0,1,6478.0,6,3,2019,22,50,19,50,3,0,180.0
Jet Airways,2019-06-18,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,0,0,8040.0,18,6,2019,8,30,7,5,1,25,85.0
Jet Airways,2019-12-06,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35,16h 35m,2,0,14300.0,6,12,2019,12,35,20,0,16,35,995.0
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1,0,14781.0,15,5,2019,20,45,8,25,12,20,740.0
Jet Airways,2019-09-06,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15,12h 15m,1,0,14939.0,6,9,2019,8,15,20,0,12,15,735.0
Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,20:55,04:25,7h 30m,1,1,10262.0,24,6,2019,4,25,20,55,7,30,450.0
Air India,2019-12-05,Kolkata,Banglore,CCU → MAA → BLR,14:35,14:35,24h,1,0,6528.0,5,12,2019,14,35,14,35,24,0,1440.0
Air India,2019-01-05,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,0,0,6121.0,5,1,2019,8,55,6,10,2,45,165.0
Jet Airways,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25,8h 55m,2,1,13029.0,18,5,2019,4,25,19,30,8,55,535.0
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,11:40,18:50,7h 10m,1,0,11421.0,27,3,2019,18,50,11,40,7,10,430.0
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,04:45,19:15,14h 30m,1,0,7574.0,27,3,2019,19,15,4,45,14,30,870.0
Air India,2019-09-05,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15,30h 20m,2,0,11596.0,5,9,2019,19,15,12,55,30,20,1820.0
Jet Airways,2019-05-24,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00,19h 55m,2,0,15129.0,24,5,2019,19,0,23,5,19,55,1195.0
Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,14:05,05:05,15h,1,0,13555.0,18,3,2019,5,5,14,5,15,0,900.0
IndiGo,2019-12-04,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,0,0,5780.0,4,12,2019,21,50,18,55,2,55,175.0
Vistara,2019-12-05,Kolkata,Banglore,CCU → DEL → BLR,20:20,09:05,12h 45m,1,0,9397.0,5,12,2019,9,5,20,20,12,45,765.0
Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,18:15,04:25,10h 10m,1,0,17024.0,3,6,2019,4,25,18,15,10,10,610.0
GoAir,2019-06-27,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1,0,5281.0,27,6,2019,12,55,7,0,5,55,355.0
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → HYD → COK,07:05,22:30,15h 25m,1,0,10348.0,18,5,2019,22,30,7,5,15,25,925.0
Air India,2019-06-03,Delhi,Cochin,DEL → MAA → COK,17:20,09:25,16h 5m,1,0,12677.0,3,6,2019,9,25,17,20,16,5,965.0
Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,15:25,01:35,10h 10m,1,0,15147.0,3,3,2019,1,35,15,25,10,10,610.0
Vistara,2019-12-06,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,0,0,4668.0,6,12,2019,9,40,7,0,2,40,160.0
Jet Airways,2019-09-05,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1,0,15554.0,5,9,2019,19,0,7,5,11,55,715.0
SpiceJet,2019-09-04,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,0,0,3971.0,4,9,2019,8,35,5,55,2,40,160.0
Air India,2019-03-05,Mumbai,Hyderabad,BOM → HYD,15:00,16:25,1h 25m,0,0,3100.0,5,3,2019,16,25,15,0,1,25,85.0
Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05,14h 5m,1,1,9663.0,5,6,2019,10,5,20,0,14,5,845.0
Air India,2019-01-03,Delhi,Cochin,DEL → BOM → COK,23:00,19:15,20h 15m,1,0,23017.0,3,1,2019,19,15,23,0,20,15,1215.0
IndiGo,2019-12-05,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,0,0,3540.0,5,12,2019,7,40,5,15,2,25,145.0
Air India,2019-05-21,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,11:10,23h 10m,2,0,10676.0,21,5,2019,11,10,12,0,23,10,1390.0
Jet Airways,2019-12-06,Kolkata,Banglore,CCU → BOM → BLR,14:05,08:15,18h 10m,1,0,13044.0,6,12,2019,8,15,14,5,18,10,1090.0
Jet Airways,2019-06-05,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00,16h,1,0,14388.0,5,6,2019,12,0,20,0,16,0,960.0
IndiGo,2019-06-24,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,0,0,3943.0,24,6,2019,6,50,4,0,2,50,170.0
IndiGo,2019-03-06,Chennai,Kolkata,MAA → CCU,14:45,17:05,2h 20m,0,0,3597.0,6,3,2019,17,5,14,45,2,20,140.0
Air India,2019-03-21,Banglore,New Delhi,BLR → MAA → DEL,11:50,19:50,8h,1,0,5932.0,21,3,2019,19,50,11,50,8,0,480.0
Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,11:30,04:25,16h 55m,1,1,10262.0,15,6,2019,4,25,11,30,16,55,1015.0
Vistara,2019-12-05,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,0,0,6216.0,5,12,2019,17,50,14,40,3,10,190.0
IndiGo,2019-06-15,Kolkata,Banglore,CCU → BLR,20:25,23:10,2h 45m,0,0,4804.0,15,6,2019,23,10,20,25,2,45,165.0
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,11:30,01:30,14h,1,0,14067.0,21,5,2019,1,30,11,30,14,0,840.0
Jet Airways,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00,23h 50m,2,0,15129.0,18,5,2019,19,0,19,10,23,50,1430.0
Jet Airways,2019-06-06,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25,21h 40m,2,0,13376.0,6,6,2019,4,25,6,45,21,40,1300.0
Air India,2019-06-27,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15,21h 15m,2,0,10441.0,27,6,2019,19,15,22,0,21,15,1275.0
Jet Airways,2019-05-24,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,0,1,4030.0,24,5,2019,8,45,6,0,2,45,165.0
Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,10h 50m,1,0,17024.0,3,3,2019,18,50,8,0,10,50,650.0
Multiple carriers,2019-09-04,Delhi,Cochin,DEL → BOM → COK,17:30,01:30,8h,1,0,13017.0,4,9,2019,1,30,17,30,8,0,480.0
GoAir,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,23:30,07:45,8h 15m,1,0,6686.0,6,6,2019,7,45,23,30,8,15,495.0
IndiGo,2019-06-15,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1,0,5636.0,15,6,2019,7,25,2,0,5,25,325.0
IndiGo,2019-09-06,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8h 35m,1,0,6442.0,6,9,2019,16,10,7,35,8,35,515.0
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,13:05,00:55,11h 50m,1,0,9486.0,21,5,2019,0,55,13,5,11,50,710.0
Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,20:00,23:35,27h 35m,1,1,10844.0,21,5,2019,23,35,20,0,27,35,1655.0
Jet Airways,2019-03-06,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,04:25,8h 25m,2,1,15318.0,6,3,2019,4,25,20,0,8,25,505.0
Air India,2019-03-04,Delhi,Cochin,DEL → MAA → COK,12:30,09:25,20h 55m,1,0,5117.0,4,3,2019,9,25,12,30,20,55,1255.0
IndiGo,2019-06-24,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,4h 50m,1,0,6147.0,24,6,2019,20,0,15,10,4,50,290.0
Multiple carriers,2019-09-06,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,8h 10m,1,0,7005.0,6,9,2019,21,0,12,50,8,10,490.0
SpiceJet,2019-03-04,Kolkata,Banglore,CCU → BLR,22:20,00:40,2h 20m,0,0,3873.0,4,3,2019,0,40,22,20,2,20,140.0
Jet Airways,2019-03-21,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,18:50,24h 25m,2,1,9270.0,21,3,2019,18,50,18,25,24,25,1465.0
GoAir,2019-06-27,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,0,0,3898.0,27,6,2019,14,30,11,40,2,50,170.0
Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1,0,14781.0,5,12,2019,20,45,8,25,12,20,740.0
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15,12h 15m,1,1,8586.0,24,5,2019,8,15,20,0,12,15,735.0
Air India,2019-09-05,Kolkata,Banglore,CCU → JAI → BOM → BLR,08:20,07:55,23h 35m,2,0,10697.0,5,9,2019,7,55,8,20,23,35,1415.0
Jet Airways,2019-06-27,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35,16h 35m,2,0,14300.0,27,6,2019,12,35,20,0,16,35,995.0
IndiGo,2019-03-03,Banglore,New Delhi,BLR → DEL,18:55,21:45,2h 50m,0,0,8855.0,3,3,2019,21,45,18,55,2,50,170.0
Jet Airways,2019-12-05,Kolkata,Banglore,CCU → BOM → BLR,16:30,18:15,25h 45m,1,1,10844.0,5,12,2019,18,15,16,30,25,45,1545.0
Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,02:15,04:25,26h 10m,1,0,17024.0,3,6,2019,4,25,2,15,26,10,1570.0
Jet Airways,2019-01-05,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25,28h 50m,1,1,9314.0,5,1,2019,14,25,9,35,28,50,1730.0
IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,00:40,03:25,2h 45m,0,0,4777.0,24,3,2019,3,25,0,40,2,45,165.0
Air India,2019-09-06,Kolkata,Banglore,CCU → BBI → BLR,12:00,13:15,25h 15m,1,0,7662.0,6,9,2019,13,15,12,0,25,15,1515.0
IndiGo,2019-09-05,Delhi,Cochin,DEL → HYD → COK,06:50,16:10,9h 20m,1,0,6442.0,5,9,2019,16,10,6,50,9,20,560.0
SpiceJet,2019-12-06,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1,0,5264.0,6,12,2019,13,15,8,45,4,30,270.0
Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,13:00,04:25,15h 25m,1,1,12898.0,27,5,2019,4,25,13,0,15,25,925.0
Air India,2019-03-03,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,0,0,6092.0,3,3,2019,15,25,13,55,1,30,90.0
SpiceJet,2019-05-21,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,0,0,3311.0,21,5,2019,8,35,5,55,2,40,160.0
Jet Airways,2019-03-27,Delhi,Cochin,DEL → BOM → COK,19:15,04:25,9h 10m,1,1,6540.0,27,3,2019,4,25,19,15,9,10,550.0
IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,0,0,3419.0,27,5,2019,4,15,1,30,2,45,165.0
